epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1994.23,1.3039,1.3457,1.19953,0.73892,0.57986,0.66634,0.4484,1.21105,1.04389,1.13348,0.00126542,0.00126542,0.00126542
75,2021.25,1.29132,1.31666,1.19606,0.75646,0.58317,0.67366,0.46778,1.19022,1.01568,1.11351,0.00125992,0.00125992,0.00125992
76,2046.25,1.26856,1.29398,1.18172,0.73257,0.59232,0.68573,0.47228,1.19768,1.00992,1.11177,0.00125442,0.00125442,0.00125442
77,2082.39,1.28639,1.30244,1.21054,0.77315,0.59295,0.68134,0.47557,1.15933,1.03668,1.09625,0.00124892,0.00124892,0.00124892
78,2111.3,1.28815,1.30753,1.18893,0.79573,0.57152,0.68468,0.46676,1.16906,1.02464,1.11231,0.00124342,0.00124342,0.00124342
79,2142.21,1.25161,1.25081,1.17344,0.76655,0.59126,0.69185,0.4814,1.14524,1.0083,1.09474,0.00123791,0.00123791,0.00123791
80,2167.29,1.28455,1.272,1.18729,0.76077,0.5684,0.66515,0.45591,1.16169,1.05011,1.09588,0.00123241,0.00123241,0.00123241
81,2191.86,1.27751,1.27967,1.18731,0.73072,0.62115,0.69943,0.48591,1.15311,0.99546,1.08992,0.00122691,0.00122691,0.00122691
82,2217.08,1.23847,1.26289,1.16997,0.80364,0.59711,0.70352,0.48206,1.15629,0.9677,1.0895,0.00122141,0.00122141,0.00122141
83,2242.1,1.24755,1.24526,1.17847,0.77504,0.58559,0.68301,0.46644,1.18069,1.02804,1.1062,0.00121591,0.00121591,0.00121591
84,2266.98,1.22812,1.25535,1.15738,0.75675,0.58791,0.69131,0.48005,1.13399,0.96873,1.084,0.00121041,0.00121041,0.00121041
85,2291.58,1.24057,1.21887,1.1644,0.79858,0.59017,0.69668,0.48709,1.12399,0.94628,1.07588,0.00120491,0.00120491,0.00120491
86,2315.61,1.22923,1.22146,1.15976,0.81653,0.59673,0.70822,0.49307,1.13239,0.96821,1.07865,0.00119941,0.00119941,0.00119941
87,2341.93,1.26322,1.25204,1.17435,0.80265,0.63895,0.72311,0.50279,1.1199,0.9219,1.07526,0.00119391,0.00119391,0.00119391
88,2375.86,1.2449,1.22897,1.1547,0.8116,0.62535,0.72193,0.50863,1.1374,0.90407,1.07444,0.0011884,0.0011884,0.0011884
89,2401.96,1.212,1.1983,1.16189,0.82231,0.61416,0.73138,0.51364,1.11425,0.88623,1.0687,0.0011829,0.0011829,0.0011829
90,2426.91,1.25338,1.21321,1.17399,0.82507,0.61822,0.73855,0.50889,1.11679,0.90861,1.07299,0.0011774,0.0011774,0.0011774
91,2450.65,1.22155,1.18772,1.15609,0.78013,0.60676,0.71346,0.50417,1.08392,0.91613,1.06653,0.0011719,0.0011719,0.0011719
92,2474.94,1.2333,1.21425,1.15526,0.76559,0.62875,0.71705,0.4964,1.12218,0.94137,1.07069,0.0011664,0.0011664,0.0011664
93,2501.11,1.2044,1.16149,1.15004,0.83194,0.60191,0.71708,0.50658,1.08501,0.92371,1.05789,0.0011609,0.0011609,0.0011609
94,2526.04,1.18671,1.15822,1.13397,0.82993,0.65975,0.75032,0.5237,1.09696,0.87512,1.0532,0.0011554,0.0011554,0.0011554
95,2550.04,1.22152,1.17257,1.13784,0.81245,0.62728,0.73878,0.51141,1.08947,0.86941,1.0477,0.0011499,0.0011499,0.0011499
96,2587.62,1.20597,1.14317,1.1447,0.80626,0.65247,0.74746,0.52819,1.07812,0.93205,1.06165,0.0011444,0.0011444,0.0011444
97,2617.7,1.19517,1.15026,1.14538,0.81424,0.64413,0.74591,0.52573,1.06873,0.87977,1.05074,0.00113889,0.00113889,0.00113889
98,2642.29,1.20252,1.15047,1.13576,0.85257,0.62345,0.76085,0.53878,1.05041,0.8492,1.03617,0.00113339,0.00113339,0.00113339
99,2666.52,1.18255,1.12593,1.13878,0.83299,0.62892,0.76611,0.54292,1.06656,0.84129,1.04375,0.00112789,0.00112789,0.00112789
100,2690.88,1.20281,1.14339,1.12582,0.85969,0.66097,0.76439,0.54453,1.06306,0.82576,1.04131,0.00112239,0.00112239,0.00112239
101,2714.73,1.20289,1.14179,1.14102,0.80093,0.66285,0.74819,0.53924,1.05185,0.86398,1.0428,0.00111689,0.00111689,0.00111689
102,2738.7,1.2013,1.14619,1.14006,0.86146,0.67246,0.77814,0.54942,1.04745,0.81561,1.04283,0.00111139,0.00111139,0.00111139
103,2767.07,1.14999,1.09048,1.11591,0.81815,0.69041,0.77077,0.55666,1.04193,0.8328,1.03577,0.00110589,0.00110589,0.00110589
104,2795.53,1.18706,1.14009,1.13059,0.78944,0.64991,0.74891,0.5336,1.07274,0.86652,1.04685,0.00110039,0.00110039,0.00110039
105,2820.28,1.15355,1.09097,1.1184,0.82587,0.69352,0.7725,0.55071,1.0332,0.81118,1.03172,0.00109489,0.00109489,0.00109489
106,2844.15,1.18572,1.12568,1.13175,0.82031,0.68383,0.77524,0.55686,1.03518,0.79222,1.02432,0.00108938,0.00108938,0.00108938
107,2872.31,1.14722,1.08765,1.11532,0.82957,0.66144,0.77281,0.54729,1.0557,0.81512,1.03225,0.00108388,0.00108388,0.00108388
108,2899.19,1.1998,1.11522,1.13529,0.83922,0.6804,0.77988,0.54334,1.04398,0.80041,1.03362,0.00107838,0.00107838,0.00107838
109,2925.21,1.13874,1.08805,1.11431,0.81029,0.68216,0.77071,0.56155,1.00515,0.79274,1.0148,0.00107288,0.00107288,0.00107288
110,2949.39,1.15849,1.06683,1.11151,0.86573,0.67086,0.78159,0.56627,1.02443,0.77623,1.02095,0.00106738,0.00106738,0.00106738
111,2973.29,1.16278,1.07667,1.11845,0.82081,0.68595,0.77652,0.56063,1.0197,0.81675,1.01759,0.00106188,0.00106188,0.00106188
112,2997.28,1.13464,1.04124,1.10456,0.83048,0.68216,0.7793,0.56184,1.02441,0.79166,1.0147,0.00105638,0.00105638,0.00105638
113,3020.87,1.1271,1.04803,1.09834,0.82921,0.67412,0.78589,0.56872,1.00836,0.77036,1.00807,0.00105088,0.00105088,0.00105088
114,3044.6,1.1287,1.04791,1.10975,0.84022,0.69891,0.78628,0.56921,1.01526,0.77704,1.02084,0.00104538,0.00104538,0.00104538
115,3069.02,1.13363,1.05521,1.10111,0.86719,0.68377,0.79671,0.57797,0.98765,0.77608,1.00783,0.00103987,0.00103987,0.00103987
116,3098.41,1.15902,1.06951,1.11748,0.85471,0.69649,0.79525,0.58096,0.9975,0.74251,1.00782,0.00103437,0.00103437,0.00103437
117,3128.02,1.14538,1.042,1.11383,0.84628,0.69341,0.79092,0.58278,1.0122,0.75255,1.01697,0.00102887,0.00102887,0.00102887
118,3154.65,1.12484,1.00928,1.09697,0.84952,0.73629,0.81119,0.58923,0.99144,0.72706,0.99892,0.00102337,0.00102337,0.00102337
119,3180.53,1.14155,1.03782,1.10033,0.86611,0.67607,0.79561,0.58319,0.98103,0.73743,1.00122,0.00101787,0.00101787,0.00101787
120,3206.37,1.15044,1.02033,1.10503,0.83524,0.70885,0.79543,0.57331,1.00658,0.74395,1.01457,0.00101237,0.00101237,0.00101237
121,3231.13,1.10093,1.0112,1.09802,0.84526,0.69339,0.79693,0.57441,0.99352,0.74756,1.00384,0.00100687,0.00100687,0.00100687
122,3262.14,1.12972,1.02356,1.10138,0.87002,0.68062,0.797,0.58712,0.98014,0.72701,1.00059,0.00100137,0.00100137,0.00100137
123,3293.79,1.13008,1.02566,1.10884,0.88258,0.71009,0.81323,0.58368,0.98673,0.74452,1.00328,0.000995866,0.000995866,0.000995866
124,3318.25,1.09297,1.0094,1.08838,0.87002,0.68858,0.80795,0.59401,0.97113,0.74643,0.99963,0.000990365,0.000990365,0.000990365
125,3342.9,1.08879,1.00941,1.08591,0.88393,0.69162,0.80848,0.58708,0.96701,0.72916,0.98881,0.000984864,0.000984864,0.000984864
